player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Kyle Anderson,MEM,27.1,Forward,1884,88,87,79,30,82,82,97,53,78,52,27,77,60,89,93,70,13,67,53,45,37,98,2,9,10,8,34,2,3,19,8,5,4,41,31,18,8,6,79,14,32,33,28,71,47,92,46,69,2,32,23,53,53,29,57,23,12,48,67,64,40,11,52,31,82,59,59,46,52,32,51,44,43,37,60,46,55,62,60,67,49,10,63,12,12,27,78,20,88,57,37,94,74,94,41,48,43,27,94,68,87,57,28,34,64,43,86,79,68,82
Giannis Antetokounmpo,MIL,25.9,Big,2010,58,71,93,26,90,69,86,32,97,98,64,99,77,98,88,49,85,92,85,86,43,93,47,52,30,58,86,47,35,60,82,50,38,62,67,52,18,35,60,50,54,76,68,31,51,72,15,26,47,87,96,83,73,94,60,87,73,81,92,93,60,56,68,59,64,65,62,86,80,82,72,82,41,82,31,66,59,40,44,92,46,46,50,26,60,32,58,37,61,71,98,21,64,25,0,32,31,61,59,74,65,26,52,47,79,29,99,96,94,100
Thanasis Antetokounmpo,MIL,28.3,Forward,448,54,72,6,99,49,81,38,0,98,56,69,49,26,49,44,0,57,82,83,74,72,34,22,30,11,22,98,22,25,40,21,21,11,62,80,17,25,11,71,9,20,67,19,16,11,62,79,79,22,40,51,41,18,23,22,57,44,59,82,71,58,76,97,89,89,71,79,27,63,89,75,86,60,95,57,91,13,8,6,82,65,54,69,33,72,44,73,67,69,34,33,8,9,2,0,0,15,99,16,27,13,23,8,6,62,15,74,57,97,88
Carmelo Anthony,POR,36.4,Forward,1671,62,46,52,9,20,70,29,98,49,74,29,87,39,57,13,97,75,56,63,53,18,69,82,82,86,22,51,82,69,25,34,60,23,89,85,84,19,65,60,68,71,15,65,71,72,31,75,66,82,85,44,87,87,52,86,69,59,75,56,71,14,61,6,20,6,65,39,57,44,25,60,41,50,15,8,5,93,85,93,56,82,65,81,81,35,76,67,45,66,32,17,63,61,63,58,89,82,3,74,100,98,21,59,43,11,82,92,83,92,93
Cole Anthony,ORL,20.5,Point,1229,86,7,41,80,89,86,59,38,48,66,80,61,16,27,18,48,24,21,32,16,56,18,49,27,26,84,84,49,34,89,65,71,81,44,17,58,46,55,15,22,12,98,6,6,2,70,47,55,49,32,34,29,92,80,93,6,45,7,21,25,56,36,22,46,16,20,57,56,58,53,21,29,35,58,67,66,39,55,50,21,43,52,50,83,67,84,12,31,22,14,18,16,80,32,34,48,50,50,70,66,75,25,43,34,18,55,80,82,93,66
OG Anunoby,TOR,23.3,Forward,1433,66,94,56,66,34,0,84,56,53,47,16,69,84,59,32,37,92,77,72,69,71,27,91,93,93,56,24,91,92,47,67,73,40,87,81,72,82,86,27,86,80,54,74,5,32,90,48,69,91,49,82,50,61,85,62,37,74,35,77,73,70,64,73,63,68,80,66,79,81,24,67,52,41,44,61,51,92,34,58,77,55,37,43,39,7,29,67,33,63,84,81,31,46,32,64,80,77,64,37,48,34,79,41,63,76,77,58,70,73,47
Ryan Arcidiacono,CHI,26.6,Combo,415,0,13,7,24,99,0,0,0,61,29,94,6,44,46,92,94,76,98,96,22,91,99,8,9,54,19,16,8,9,44,13,18,16,41,47,67,10,39,10,31,13,9,98,60,97,14,30,18,8,29,25,39,52,46,82,23,2,24,98,94,94,43,91,88,77,63,80,95,94,40,81,73,95,28,28,23,66,15,22,98,83,16,84,57,40,47,86,13,84,59,30,79,46,78,63,35,42,25,61,16,32,84,67,77,53,44,10,49,9,0
Trevor Ariza,MIA,35.3,Forward,836,60,78,64,59,67,67,67,52,34,51,6,40,36,50,52,94,34,43,47,63,51,2,30,45,38,30,26,30,37,28,22,46,46,47,68,18,63,28,16,42,24,21,8,13,3,98,95,99,30,36,14,46,54,49,65,29,14,36,43,50,42,25,51,45,61,16,36,84,57,83,64,78,9,60,85,78,91,46,66,43,25,23,28,6,59,8,63,27,71,37,24,14,27,12,43,37,42,61,7,16,4,80,60,77,38,42,19,18,1,59
D.J. Augustin,HOU,33.0,Combo,405,0,7,82,67,40,0,0,94,84,33,0,74,93,89,87,25,52,38,35,18,77,83,74,88,40,41,44,74,63,37,10,43,18,82,68,24,92,52,41,90,84,84,49,42,43,32,25,21,74,94,25,94,63,67,65,94,27,95,38,41,78,28,85,87,56,91,44,93,72,25,8,8,88,86,31,71,3,18,6,38,16,21,19,22,25,24,32,11,31,66,17,39,51,44,0,89,71,57,10,39,11,48,84,78,31,73,61,77,51,77
D.J. Augustin,MIL,33.0,Point,697,5,25,93,39,2,0,36,79,23,52,45,5,41,11,57,57,88,94,64,77,86,93,48,78,42,36,13,48,83,21,90,24,27,36,83,53,67,60,46,61,53,59,23,71,42,18,71,53,48,26,95,12,46,86,36,25,92,17,94,80,84,62,75,66,67,43,43,63,50,69,70,74,40,24,11,11,69,92,91,94,69,59,57,43,58,49,68,64,58,34,2,32,20,18,38,65,62,7,2,43,7,95,98,100,2,62,9,91,64,43
Deni Avdija,WAS,19.8,Forward,1224,32,36,14,10,94,0,41,15,29,17,79,11,21,18,46,88,71,46,58,42,27,60,84,63,79,64,57,84,73,46,60,92,68,93,7,77,60,80,42,75,68,85,57,34,46,8,39,19,84,52,24,42,17,53,19,63,48,57,46,62,41,15,23,16,63,77,91,46,84,81,16,38,3,89,38,76,68,87,86,46,13,42,15,80,26,85,5,42,5,28,67,71,54,67,9,35,30,34,54,51,52,56,80,70,66,27,23,21,23,42
Deandre Ayton,PHX,22.3,Big,2108,64,24,60,84,80,57,83,69,55,48,80,49,85,26,23,43,4,3,8,29,66,8,37,55,16,73,77,37,47,59,47,78,88,40,82,73,10,48,40,30,28,70,55,37,45,51,35,37,37,40,32,48,53,51,37,32,32,44,3,6,58,60,48,52,46,29,33,16,20,46,16,20,24,94,69,92,29,23,20,3,15,41,20,60,43,58,10,35,16,84,86,79,66,80,0,3,2,69,83,73,78,0,29,23,83,2,59,44,43,21
Dwayne Bacon,ORL,25.2,Wing,1812,8,22,82,25,40,0,52,55,66,44,39,68,13,30,14,97,38,27,23,33,53,54,61,38,14,94,70,61,18,88,53,92,86,81,6,58,89,81,91,20,46,44,41,27,30,76,70,77,61,69,11,61,34,48,24,70,12,66,27,23,62,9,21,44,20,72,30,21,23,74,4,9,85,40,32,33,19,43,31,27,58,8,78,85,21,95,35,12,51,8,23,55,48,50,2,17,12,73,81,90,92,10,20,11,20,12,93,87,68,97
Marvin Bagley,SAC,21.6,Big,1091,20,23,69,69,56,55,78,9,51,41,23,82,27,14,6,69,12,65,96,92,0,24,1,3,83,2,20,1,1,0,90,84,53,93,99,1,0,0,98,0,3,1,84,99,96,100,9,65,1,89,55,90,92,65,93,54,15,48,65,91,1,6,85,12,100,83,92,83,95,39,81,72,86,8,9,4,32,86,76,65,21,5,44,58,13,66,12,8,19,39,49,34,29,33,64,27,51,55,81,34,69,72,45,50,41,50,73,68,64,83
LaMelo Ball,CHA,19.2,Point,1454,75,98,14,93,93,82,89,24,64,68,84,73,50,68,55,25,37,66,84,66,66,37,14,13,33,38,95,14,30,50,24,17,31,16,72,12,47,16,6,33,10,32,67,41,57,43,64,60,14,23,34,14,71,23,63,10,29,5,66,75,54,51,54,50,54,74,76,53,72,70,88,89,7,88,70,87,50,60,58,66,54,39,62,39,11,55,70,70,71,50,25,55,59,61,48,50,55,80,32,32,20,66,50,50,50,52,36,55,41,48
Lonzo Ball,NOP,23.0,Combo,1738,86,84,80,54,83,0,100,32,7,24,39,59,46,76,80,21,26,39,48,31,53,69,23,35,5,15,90,23,17,25,25,31,14,78,36,41,31,32,85,51,68,10,14,59,26,80,98,98,23,55,55,50,68,12,72,43,80,39,39,37,34,49,58,34,79,10,5,94,8,83,76,85,88,38,90,70,27,6,6,39,76,48,73,29,69,25,93,64,89,63,51,33,44,33,49,54,54,20,9,46,14,75,91,90,43,52,23,37,34,44
Mohamed Bamba,ORL,22.5,Big,664,92,26,29,66,83,86,66,25,41,14,70,74,22,50,29,63,60,93,86,42,86,96,8,33,28,7,33,8,37,5,9,4,3,25,40,49,53,51,43,40,34,45,49,21,30,34,81,76,8,36,20,44,16,28,10,63,10,83,93,79,82,70,90,86,73,82,62,29,41,58,90,89,75,82,86,88,42,2,3,93,74,56,74,37,68,46,90,74,90,26,46,77,47,45,0,31,35,34,23,83,47,54,80,70,45,35,69,83,68,21
Desmond Bane,MEM,22.4,Wing,1469,49,36,43,50,64,0,46,53,10,34,93,36,76,55,70,56,39,40,95,4,7,31,45,81,32,17,35,45,83,25,6,30,57,19,2,92,100,99,42,25,26,97,37,3,7,59,25,30,45,17,4,12,2,17,5,70,45,66,40,67,15,38,11,3,82,92,88,24,70,97,79,96,1,39,46,42,100,81,99,40,5,92,6,15,2,16,19,98,20,80,34,83,49,79,82,77,87,29,61,56,59,62,63,62,54,88,24,59,12,43
Harrison Barnes,SAC,28.4,Forward,2101,11,19,99,47,69,63,68,68,93,88,52,59,92,72,72,52,23,30,39,78,18,67,27,39,74,18,55,27,36,10,46,50,8,92,88,14,15,7,7,83,44,27,63,66,67,31,64,53,27,38,60,17,11,39,6,84,66,75,30,33,33,14,39,20,84,92,32,57,39,46,9,11,79,52,71,64,27,17,15,30,78,30,86,97,44,96,34,19,41,80,71,61,41,57,91,49,70,73,86,10,62,26,49,33,73,67,64,53,50,77
RJ Barrett,NYK,20.4,Wing,2498,34,17,56,69,69,66,84,29,73,81,36,89,39,71,42,57,50,41,21,73,52,61,64,66,14,95,43,64,33,96,95,93,92,72,69,74,47,72,34,47,38,51,73,40,61,45,39,37,64,86,89,79,59,77,43,92,87,88,41,31,58,11,77,57,84,25,19,5,8,5,66,32,44,1,63,7,81,92,93,41,12,13,19,24,41,39,15,14,13,35,24,31,43,34,61,60,79,86,76,64,76,43,8,12,24,78,87,92,87,29
Will Barton,DEN,29.8,Wing,1723,62,50,87,66,52,0,61,36,45,71,79,72,47,72,63,25,60,71,75,22,50,88,41,56,19,61,51,41,33,62,53,77,76,64,65,69,19,48,47,61,55,56,73,88,89,20,14,11,41,59,41,73,67,25,84,45,31,49,71,81,54,70,31,48,30,61,82,67,85,86,57,73,65,92,54,85,24,11,9,71,20,87,14,20,64,21,25,83,20,44,28,39,65,44,83,53,68,61,73,60,69,19,46,30,29,66,81,76,59,86
Keita Bates-Diop,SAS,24.8,Forward,159,34,92,87,72,80,98,56,0,62,77,97,36,87,37,42,69,56,58,77,57,11,36,51,25,42,80,58,51,45,74,39,68,69,53,19,64,28,46,56,59,60,13,73,90,89,90,20,42,51,12,31,9,61,32,53,8,38,6,58,60,13,27,15,14,45,42,79,60,80,51,89,84,50,49,76,64,66,28,36,58,68,57,74,49,56,37,75,55,88,91,98,12,0,8,0,0,0,91,84,0,60,50,9,12,93,0,48,46,1,2
Nicolas Batum,LAC,31.9,Wing,1839,87,78,81,71,78,0,94,68,37,37,65,13,87,55,89,51,48,51,44,58,56,32,44,57,74,7,9,44,51,8,38,11,13,37,38,39,5,13,39,89,86,30,8,57,15,63,94,92,44,64,77,67,24,35,25,82,85,85,51,58,26,88,53,61,35,26,46,88,74,35,44,41,56,42,78,61,46,36,33,51,33,90,15,18,62,10,57,92,46,88,84,95,52,73,59,71,81,31,7,70,22,97,55,82,82,81,10,16,10,22
Aron Baynes,TOR,33.9,Big,978,32,11,35,57,63,0,64,43,19,19,36,36,9,34,35,42,67,62,37,76,42,87,69,80,57,63,7,69,56,57,81,75,71,70,69,15,71,29,66,62,69,72,24,5,6,47,87,85,69,75,81,80,59,51,63,82,86,87,62,66,55,44,51,47,60,56,17,17,11,78,38,57,25,53,55,56,29,81,70,62,29,45,13,44,41,51,31,37,13,10,17,54,49,52,2,19,9,47,40,53,41,57,68,65,31,9,28,54,9,21
Kent Bazemore,GSW,31.3,Wing,1294,90,95,2,45,74,76,83,16,56,85,39,46,54,56,59,6,96,80,38,94,46,95,93,75,83,96,48,93,79,95,65,85,81,75,52,82,59,82,44,75,69,14,64,69,70,61,67,68,93,81,74,82,79,12,81,78,77,78,80,75,49,69,32,59,15,69,35,27,26,31,35,30,85,83,75,86,9,3,1,80,70,76,81,66,56,61,61,35,75,63,49,72,23,39,47,94,83,57,58,66,63,88,16,34,45,79,41,25,58,49
Darius Bazley,OKC,20.4,Forward,1690,39,4,100,38,98,0,96,18,72,46,33,82,10,53,14,22,59,73,84,48,19,56,37,25,64,52,27,37,18,52,35,72,58,76,40,25,84,51,73,25,39,3,79,38,65,95,85,96,37,60,29,62,50,58,59,55,20,51,73,78,17,73,44,32,70,25,78,92,92,80,94,94,19,46,78,65,76,61,66,73,44,75,51,32,88,28,56,70,65,9,28,21,50,19,10,23,18,79,47,53,50,20,54,39,24,18,79,76,64,87
Bradley Beal,WAS,27.3,Wing,2143,42,54,82,75,36,89,23,93,91,92,77,98,78,96,50,53,94,63,59,74,97,6,96,92,31,87,99,96,94,73,44,70,83,34,95,42,76,57,27,82,73,71,48,5,13,76,69,76,96,78,28,78,42,5,54,90,33,86,63,43,94,100,99,99,64,13,60,44,52,87,75,85,87,95,6,69,49,5,7,63,70,96,57,82,87,79,50,91,39,55,66,79,87,87,36,42,42,54,91,96,97,9,18,5,69,41,89,76,75,87
Malik Beasley,MIN,23.9,Wing,1213,17,25,97,52,55,82,77,74,36,35,71,84,62,64,27,78,95,48,50,79,15,42,98,76,95,94,78,98,92,91,64,43,89,5,19,53,80,71,85,58,74,98,33,22,21,57,6,9,98,98,48,96,97,41,96,81,68,74,48,80,11,92,12,44,8,31,60,87,83,42,40,42,33,73,50,68,59,45,49,48,14,93,11,47,54,24,11,83,16,66,25,61,81,74,78,57,75,45,55,45,55,54,62,59,45,76,39,45,29,65
DeAndre' Bembry,TOR,26.3,Wing,947,82,94,24,76,61,0,39,14,89,12,33,42,59,86,93,0,88,66,67,82,14,57,92,91,73,64,62,92,96,61,71,32,57,18,56,60,55,61,68,86,89,90,26,49,32,66,14,22,92,49,77,58,83,51,89,31,92,34,66,50,8,64,55,16,94,54,38,13,22,51,91,87,55,85,36,71,48,24,26,66,93,73,92,29,47,18,98,45,98,64,89,48,5,34,5,11,8,96,86,8,58,17,7,3,88,7,71,39,64,46
Davis Bertans,WAS,28.0,Forward,1462,22,21,33,2,10,49,32,85,30,60,80,30,96,1,3,98,17,47,37,41,49,16,7,8,63,51,14,7,12,44,48,14,33,11,24,36,80,54,10,17,8,15,82,55,80,70,49,58,7,35,40,28,21,92,23,46,31,35,47,41,51,43,48,67,27,50,89,9,87,17,47,27,18,96,4,71,53,66,63,47,38,41,38,35,65,30,38,48,45,86,74,43,24,20,77,83,76,0,1,32,1,48,100,100,34,75,1,4,43,44
Patrick Beverley,LAC,32.3,Combo,823,99,56,1,93,75,0,39,30,28,60,10,10,76,16,44,40,96,66,66,83,38,62,97,96,67,42,86,97,97,49,40,80,59,86,91,88,45,83,65,88,91,96,36,59,44,20,9,7,97,73,62,71,84,25,85,49,63,44,66,62,64,71,50,46,57,51,20,25,16,64,74,75,67,13,46,17,56,74,71,66,71,75,75,88,26,97,45,70,44,83,11,84,25,76,89,59,85,37,30,10,8,94,75,87,36,83,17,49,41,24
